feature,mean_abs_shap
cat__proto_igmp,3.8883772
num__sttl,1.3325804
cat__proto_unas,1.3259939
cat__proto_ospf,0.9437375
cat__proto_sctp,0.8777808
cat__service_dns,0.834378
cat__proto_icmp,0.66130286
num__smean,0.43690735
num__ct_srv_dst,0.4195282
num__sbytes,0.40603095
cat__service_smtp,0.40220118
num__ct_dst_sport_ltm,0.36797822
num__sloss,0.31207344
num__ct_state_ttl,0.30671123
cat__service_http,0.29174337
num__ct_srv_src,0.22498785
num__sload,0.20710549
num__ct_dst_src_ltm,0.2013993
cat__state_CON,0.2001698
num__dbytes,0.15024664
