prediction,attack_probability,threat_severity,uncertainty,criticality,decision_score,risk_level,decision_priority,human_review_required,recommended_action,important_features,decision_reason
1,0.8853402733802795,0.8853402733802795,0.22931945323944092,0.5,0.7291361093521118,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.885; uncertainty=0.229
1,0.8542810082435608,0.8542810082435608,0.2914379835128784,0.5,0.7167124032974242,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.854; uncertainty=0.291
1,0.7183166146278381,0.7183166146278381,0.5633667707443237,0.5,0.6623266458511352,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.718; uncertainty=0.563
1,0.6518653631210327,0.6518653631210327,0.6962692737579346,0.5,0.635746145248413,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.652; uncertainty=0.696
1,0.7034931182861328,0.7034931182861328,0.5930137634277344,0.5,0.656397247314453,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.703; uncertainty=0.593
1,0.8744500279426575,0.8744500279426575,0.25109994411468506,0.5,0.7247800111770629,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.874; uncertainty=0.251
1,0.7866309285163879,0.7866309285163879,0.4267381429672241,0.5,0.6896523714065551,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.787; uncertainty=0.427
1,0.6470782160758972,0.6470782160758972,0.7058435678482056,0.5,0.6338312864303588,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.647; uncertainty=0.706
0,0.0001240874407812953,0.0001240874407812953,0.0002481748815625906,0.5,0.07512408744078129,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
0,0.0001240874407812953,0.0001240874407812953,0.0002481748815625906,0.5,0.07512408744078129,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
0,0.0001240874407812953,0.0001240874407812953,0.0002481748815625906,0.5,0.07512408744078129,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
0,0.0001240874407812953,0.0001240874407812953,0.0002481748815625906,0.5,0.07512408744078129,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
1,0.7251442074775696,0.7251442074775696,0.5497115850448608,0.5,0.6650576829910277,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.725; uncertainty=0.55
1,0.7365366816520691,0.7365366816520691,0.5269266366958618,0.5,0.6696146726608276,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.737; uncertainty=0.527
1,0.9187966585159302,0.9187966585159302,0.16240668296813965,0.5,0.7425186634063721,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.919; uncertainty=0.162
1,0.7711029052734375,0.7711029052734375,0.457794189453125,0.5,0.683441162109375,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.771; uncertainty=0.458
1,0.89966881275177,0.89966881275177,0.20066237449645996,0.5,0.734867525100708,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.9; uncertainty=0.201
1,0.804653525352478,0.804653525352478,0.39069294929504395,0.5,0.6968614101409911,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.805; uncertainty=0.391
1,0.85127854347229,0.85127854347229,0.2974429130554199,0.5,0.715511417388916,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.851; uncertainty=0.297
1,0.8580494523048401,0.8580494523048401,0.2839010953903198,0.5,0.718219780921936,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.858; uncertainty=0.284
1,0.7331069707870483,0.7331069707870483,0.5337860584259033,0.5,0.6682427883148193,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.733; uncertainty=0.534
1,0.9612312316894531,0.9612312316894531,0.07753753662109375,0.5,0.7594924926757812,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_icmp, cat__proto_unas",Risk=HIGH; attack_probability=0.961; uncertainty=0.078
1,0.6470782160758972,0.6470782160758972,0.7058435678482056,0.5,0.6338312864303588,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.647; uncertainty=0.706
1,0.7388859987258911,0.7388859987258911,0.5222280025482178,0.5,0.6705543994903564,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.739; uncertainty=0.522
1,0.7785996794700623,0.7785996794700623,0.4428006410598755,0.5,0.6864398717880249,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.779; uncertainty=0.443
1,0.8257860541343689,0.8257860541343689,0.3484278917312622,0.5,0.7053144216537475,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.826; uncertainty=0.348
1,0.7961792945861816,0.7961792945861816,0.4076414108276367,0.5,0.6934717178344726,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.796; uncertainty=0.408
1,0.957841157913208,0.957841157913208,0.08431768417358398,0.5,0.7581364631652832,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.958; uncertainty=0.084
1,0.9544196128845215,0.9544196128845215,0.09116077423095703,0.5,0.7567678451538086,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.954; uncertainty=0.091
1,0.8529733419418335,0.8529733419418335,0.294053316116333,0.5,0.7161893367767334,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.853; uncertainty=0.294
1,0.8335936665534973,0.8335936665534973,0.33281266689300537,0.5,0.7084374666213988,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.834; uncertainty=0.333
1,0.846735954284668,0.846735954284668,0.30652809143066406,0.5,0.7136943817138671,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.847; uncertainty=0.307
1,0.8565072417259216,0.8565072417259216,0.28698551654815674,0.5,0.7176028966903686,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, num__sttl, cat__proto_unas",Risk=HIGH; attack_probability=0.857; uncertainty=0.287
